date, pm25, pm10, o3, no2, so2, co
2022/10/30, 38, 31, 26, 11, 1, 
2022/10/31, 44, 26, 22, 10, 1, 
2022/11/1, 43, 37, 15, 14, 1, 
2022/11/2, 66, 32, 25, 13, 2, 
2022/11/3, 47, 33, 26, 13, 2, 
2022/11/4, 45, 30, 22, 12, 2, 
2022/11/5, 56, 26, 23, 11, 1, 
2022/11/6, 52, 34, 28, 15, 1, 
2022/11/7, 54, 37, 19, 19, 1, 
2022/11/8, 50, 32, 16, 17, , 
2022/11/9, 54, 28, 9, 15, , 
2022/11/10, 64, 34, 12, 17, 2, 
2022/11/11, 69, 37, 17, 17, , 
2022/11/12, 67, 43, 23, 13, , 
2022/11/13, 71, 30, 24, 15, 1, 
2022/11/14, 52, 32, 23, 17, 2, 
2022/11/15, 56, 26, 28, 13, 1, 
2022/11/16, 50, 33, 27, 11, 3, 
2022/11/17, 50, 21, 26, 12, , 
2022/11/18, 40, 16, 30, 8, , 
2022/11/19, 44, 28, 31, 10, 1, 
2022/11/20, 58, 27, 31, 10, 2, 
2022/11/21, 47, 19, 30, 13, , 
2022/11/22, 40, 31, 26, 15, 3, 
2022/11/23, 57, 30, 25, 18, 1, 
2022/11/24, 55, 30, 24, 17, 2, 
2022/11/25, 52, 32, 8, 16, 1, 
2022/11/26, 70, 26, 25, 13, 1, 
2022/11/27, 56, 23, 28, 10, 1, 
2022/11/28, 44, 26, 23, 15, 1, 
2022/11/29, 57, 26, 30, 11, 1, 
2022/11/30, 53, 22, 29, 8, , 
2022/12/1, 42, 26, 22, 13, 1, 
2022/12/2, 57, 28, 13, 13, 1, 
2022/12/3, 60, 24, 16, 9, 1, 
2022/12/4, 57, 31, 15, 18, 1, 
2022/12/5, 60, 39, 8, 18, 2, 
2022/12/6, 81, 33, 22, 10, , 
2022/12/7, 66, 27, 20, 7, 1, 
2022/12/8, 67, 26, 24, 9, , 
2022/12/9, 49, 25, 21, 14, 1, 
2022/12/10, 55, 34, 13, 14, 2, 
2022/12/11, 79, 28, 23, 16, 1, 
2022/12/12, 63, 31, 15, 17, 1, 
2022/12/13, 64, 36, 7, 20, 1, 
2022/12/14, 75, 29, 17, 18, , 
2022/12/15, 62, 28, 23, 8, , 
2022/12/16, 46, 32, 14, 14, 1, 
2022/12/17, 58, 27, 29, 15, , 
2022/12/18, 60, 15, 30, 3, , 
2022/12/19, 32, 23, 23, 15, , 
2022/12/20, 49, 34, 11, 19, 2, 
2022/12/21, 61, 45, 12, 23, 1, 
2022/12/22, 71, 40, 22, 21, 2, 
2022/12/23, 62, 22, 27, 9, , 
2022/12/24, 43, 31, 19, 15, , 
2022/12/25, 55, 23, 22, 12, , 
2022/12/26, 55, 33, 12, 16, 2, 
2022/12/27, 73, 35, 13, 18, 1, 
2022/12/28, 75, 26, 16, 20, , 
2022/12/29, 56, 28, 28, 16, 1, 
2022/12/30, 54, 34, 32, 1, 1, 
2022/12/31, 50, 28, 25, 8, , 
2023/1/1, 67, 21, 27, 11, , 
2022/7/1, 38, 20, 26, 4, , 
2022/7/2, 36, 17, 27, 1, , 
2022/7/3, 33, 19, 25, 3, , 
2022/7/4, 29, 22, 29, 3, , 
2022/7/5, 30, 30, 36, 2, , 
2022/7/6, 33, 28, 30, 3, , 
2022/7/7, 42, 24, 31, 1, , 
2022/7/8, 40, 28, 37, 3, , 
2022/7/9, 48, 31, 40, 4, , 
2022/7/10, 53, 34, 34, 9, , 
2022/7/11, 57, 29, 31, 7, , 
2022/7/12, 57, 36, 43, 12, , 
2022/7/13, 68, 37, 40, 7, , 
2022/7/14, 66, 39, 43, 4, , 
2022/7/15, 61, 51, 37, 9, , 
2022/7/16, 82, 50, 53, 8, , 
2022/7/17, 90, 42, 28, 10, 1, 
2022/7/18, 72, 29, 28, 6, , 
2022/7/19, 43, 27, 31, 6, 1, 
2022/7/20, 47, 26, 29, 2, , 
2022/7/21, 43, 22, 28, 4, , 
2022/7/22, 36, 19, 31, 1, , 
2022/7/23, 28, 26, 31, 4, , 
2022/7/24, 47, 26, 24, 4, 1, 
2022/7/25, 41, 19, 29, 2, , 
2022/7/26, 28, 14, 31, 3, , 
2022/7/27, 32, 19, 33, 5, 1, 
2022/7/28, 37, 21, 22, 5, , 
2022/7/29, 37, 15, 28, 2, , 
2022/7/30, 20, 16, 27, , , 
2022/7/31, 35, 19, 25, 1, , 
2022/8/1, 33, 96, 22, 3, , 
2022/8/2, 107, 21, 23, 5, , 
2022/8/3, 36, 21, 24, 3, , 
2022/8/4, 25, 24, 29, 3, , 
2022/8/5, 29, 31, 38, 2, , 
2022/8/6, 31, 35, 41, 3, , 
2022/8/7, 48, 30, 38, 5, , 
2022/8/8, 42, 34, 42, 7, , 
2022/8/9, 50, 39, 35, 9, , 
2022/8/10, 63, 52, 40, 11, , 
2022/8/11, 79, 39, 27, 9, , 
2022/8/12, 62, 33, 26, 8, , 
2022/8/13, 49, 31, 41, 5, , 
2022/8/14, 48, 35, 46, 4, , 
2022/8/15, 53, 26, 29, 6, , 
2022/8/16, 31, 24, 24, 7, , 
2022/8/17, 31, 31, 26, 6, , 
2022/8/18, 40, 24, 24, 5, , 
2022/8/19, 40, 59, 31, 4, , 
2022/8/20, 72, 26, 24, 4, , 
2022/8/21, 37, 21, 16, 5, , 
2022/8/22, 30, 13, 16, 1, , 
2022/8/23, 22, 20, 15, 5, , 
2022/8/24, 27, 19, 25, 5, , 
2022/8/25, 20, 23, 26, 2, , 
2022/8/26, 22, 22, 28, 1, , 
2022/8/27, 28, 24, 32, 3, , 
2022/8/28, 36, 37, 29, 7, , 
2022/8/29, 59, 33, 27, 8, , 
2022/8/30, 53, 31, 26, 9, , 
2022/8/31, 51, 25, 23, 6, , 
2022/9/1, 38, 23, 27, 8, , 
2022/9/2, 33, 23, 34, 4, 1, 
2022/9/3, 33, 25, 31, 5, , 
2022/9/4, 48, 28, 31, 8, 1, 
2022/9/5, 44, 30, 29, 7, , 
2022/9/6, 42, 25, 26, 7, , 
2022/9/7, 37, 19, 26, 4, , 
2022/9/8, 33, 23, 26, 7, 1, 
2022/9/9, 32, 19, 27, 5, , 
2022/9/10, 33, 25, 29, 6, , 
2022/9/11, 40, 31, 20, 11, , 
2022/9/12, 49, 27, 22, 12, , 
2022/9/13, 42, 31, 25, 11, 1, 
2022/9/14, 50, 23, 28, 6, , 
2022/9/15, 39, 25, 32, 4, , 
2022/9/16, 36, 24, 35, 1, , 
2022/9/17, 34, 23, 34, 2, , 
2022/9/18, 34, 26, 32, 6, , 
2022/9/19, 40, 27, 31, 6, , 
2022/9/20, 39, 27, 33, 7, , 
2022/9/21, 39, 24, 32, 8, , 
2022/9/22, 36, 34, 27, 11, 1, 
2022/9/23, 50, 22, 20, 6, , 
2022/9/24, 38, 17, 29, 4, , 
2022/9/25, 27, 20, 26, 8, , 
2022/9/26, 35, 33, 26, 7, 1, 
2022/9/27, 39, 27, 23, 6, 1, 
2022/9/28, 43, 21, 21, 9, , 
2022/9/29, 32, 22, 20, 10, 1, 
2022/9/30, 34, 19, 20, 6, 1, 
2022/4/1, 28, 18, 47, 6, 1, 
2022/4/2, 22, 13, 43, 3, 1, 
2022/4/3, 21, 24, 40, 11, 1, 
2022/4/4, 45, 24, 49, 9, 1, 
2022/4/5, 45, 26, 36, 12, 2, 
2022/4/6, 49, 23, 32, 7, 1, 
2022/4/7, 34, 24, 37, 8, 1, 
2022/4/8, 32, 20, 41, 4, , 
2022/4/9, 29, 23, 33, 9, , 
2022/4/10, 34, 27, 34, 8, 1, 
2022/4/11, 33, 27, 28, 12, , 
2022/4/12, 43, 18, 28, 10, 1, 
2022/4/13, 26, 19, 35, 7, 1, 
2022/4/14, 31, 16, 41, 2, , 
2022/4/15, 27, 20, 42, 2, , 
2022/4/16, 41, 34, 39, 7, , 
2022/4/17, 61, 23, 38, 9, , 
2022/4/18, 45, 16, 36, 9, , 
2022/4/19, 26, 20, 40, 8, 1, 
2022/4/20, 25, 21, 41, 6, 2, 
2022/4/21, 28, 24, 30, 11, 1, 
2022/4/22, 35, 12, 37, 4, , 
2022/4/23, 27, 18, 44, 4, , 
2022/4/24, 33, 26, 44, 9, 1, 
2022/4/25, 44, 30, 27, 15, , 
2022/4/26, 52, 24, 38, 9, , 
2022/4/27, 39, 18, 40, 7, , 
2022/4/28, 36, 25, 40, 8, , 
2022/4/29, 41, 23, 48, 4, , 
2022/4/30, 48, 34, 47, 5, , 
2022/5/1, 60, 24, 47, 5, , 
2022/5/2, 44, 29, 47, 9, , 
2022/5/3, 48, 28, 44, 8, , 
2022/5/4, 53, 25, 43, 7, , 
2022/5/5, 45, 19, 36, 6, , 
2022/5/6, 31, 18, 42, 4, , 
2022/5/7, 33, 24, 40, 3, , 
2022/5/8, 40, 29, 35, 11, 1, 
2022/5/9, 42, 31, 37, 9, , 
2022/5/10, 56, 35, 32, 8, , 
2022/5/11, 60, 21, 30, 3, , 
2022/5/12, 68, 22, 29, 3, , 
2022/5/13, 35, 25, 23, 5, , 
2022/5/14, 42, 31, 37, 6, , 
2022/5/15, 44, 28, 32, 8, , 
2022/5/16, 46, 31, 36, 10, 1, 
2022/5/17, 38, 25, 26, 8, 1, 
2022/5/18, 38, 26, 34, 5, , 
2022/5/19, 31, 29, 29, 5, , 
2022/5/20, 38, 28, 32, 3, , 
2022/5/21, 32, 34, 30, 5, , 
2022/5/22, 49, 25, 26, 9, 1, 
2022/5/23, 31, 21, 30, 7, 1, 
2022/5/24, 31, 19, 32, 6, , 
2022/5/25, 28, 22, 29, 5, 1, 
2022/5/26, 38, 19, 30, 2, , 
2022/5/27, 31, 23, 33, 1, , 
2022/5/28, 46, 29, 44, 1, , 
2022/5/29, 48, 35, 37, 6, , 
2022/5/30, 45, 33, 35, 10, , 
2022/5/31, 57, 26, 36, 8, , 
2022/6/1, 49, 23, 29, 8, , 
2022/6/2, 49, 27, 31, 8, 1, 
2022/6/3, 51, 27, 37, 7, , 
2022/6/4, 50, 26, 35, 4, , 
2022/6/5, 47, 23, 25, 7, 1, 
2022/6/6, 40, 25, 28, 5, , 
2022/6/7, 39, 24, 20, 9, , 
2022/6/8, 46, 24, 24, 5, , 
2022/6/9, 38, 27, 26, 6, , 
2022/6/10, 39, 22, 24, 1, , 
2022/6/11, 31, 29, 30, 1, , 
2022/6/12, 32, 39, 33, 2, , 
2022/6/13, 41, 37, 34, 5, , 
2022/6/14, 45, 38, 29, 9, 1, 
2022/6/15, 56, 46, 39, 8, , 
2022/6/16, 61, 56, 37, 11, , 
2022/6/17, 71, 50, 24, 9, , 
2022/6/18, 72, 26, 31, 4, 2, 
2022/6/19, 38, 27, 28, 8, 1, 
2022/6/20, 32, 18, 35, 6, , 
2022/6/21, 28, 22, 30, 6, 1, 
2022/6/22, 42, 27, 27, 10, , 
2022/6/23, 51, 23, 25, 7, , 
2022/6/24, 46, 20, 29, 5, 3, 
2022/6/25, 32, 23, 27, 3, , 
2022/6/26, 42, 22, 27, 4, , 
2022/6/27, 34, 25, 30, 5, , 
2022/6/28, 43, 29, 22, 7, 1, 
2022/6/29, 47, 22, 29, 4, 1, 
2022/6/30, 31, 20, 31, 4, , 
2022/1/3, 144, 19, 26, 12, , 
2022/1/4, 42, 22, 23, 16, , 
2022/1/5, 41, 22, 15, 12, 1, 
2022/1/6, 41, 24, 25, 12, 2, 
2022/1/7, 39, 17, 32, 4, 1, 
2022/1/8, 31, 18, 33, 6, 2, 
2022/1/9, 30, 25, 23, 12, 2, 
2022/1/10, 34, 16, 31, 9, , 
2022/1/11, 33, 23, 30, 6, , 
2022/1/12, 36, 32, 17, 14, 1, 
2022/1/13, 49, 33, 12, 19, 3, 
2022/1/14, 62, 30, 19, 17, 1, 
2022/1/15, 58, 29, 19, 14, 1, 
2022/1/16, 62, 30, 29, 13, 1, 
2022/1/17, 57, 32, 23, 16, , 
2022/1/18, 66, 34, 21, 16, 1, 
2022/1/19, 66, 31, 32, 15, 1, 
2022/1/20, 62, 21, 33, 4, , 
2022/1/21, 37, 21, 34, 3, , 
2022/1/22, 29, 28, 27, 9, 1, 
2022/1/23, 57, 40, 14, 18, 3, 
2022/1/24, 77, 41, 17, 19, 2, 
2022/1/25, 80, 37, 23, 16, 1, 
2022/1/26, 72, 31, 28, 11, 1, 
2022/1/27, 63, 22, 29, 5, , 
2022/1/28, 44, 26, 27, 7, 1, 
2022/1/29, 46, 32, 21, 6, , 
2022/1/30, 70, 30, 21, 11, 1, 
2022/1/31, 59, 29, 28, 13, 1, 
2022/2/1, 46, 40, 20, 18, 2, 
2022/2/2, 66, 39, 16, 21, 4, 
2022/2/3, 68, 31, 32, 16, 2, 
2022/2/4, 55, 23, 34, 10, , 
2022/2/5, 26, 26, 26, 12, 2, 
2022/2/6, 49, 24, 29, 11, 1, 
2022/2/7, 47, 33, 26, 16, 1, 
2022/2/8, 53, 49, 16, 21, 3, 
2022/2/9, 76, 52, 13, 22, 1, 
2022/2/10, 84, 25, 33, 6, , 
2022/2/11, 39, 33, 19, 11, , 
2022/2/12, 60, 33, 34, 10, 1, 
2022/2/13, 57, 17, 36, 8, 1, 
2022/2/14, 32, 19, 28, 10, 2, 
2022/2/15, 29, 22, 35, 9, 1, 
2022/2/16, 27, 28, 9, 12, 1, 
2022/2/17, 36, 26, 25, 13, 2, 
2022/2/18, 51, 15, 30, 8, , 
2022/2/19, 26, , 23, 6, 2, 
2022/3/24, 53, 36, 42, 8, 1, 
2022/3/25, 61, 44, 39, 10, 1, 
2022/3/26, 74, 48, 39, 11, 2, 
2022/3/27, 84, 51, 34, 16, 2, 
2022/3/28, 81, 44, 43, 11, , 
2022/3/29, 62, 31, 40, 10, 1, 
2022/3/30, 46, 23, 43, 10, , 
2022/3/31, 44, 23, 42, 8, , 
2021/10/1, 46, 24, 17, 9, , 
2021/10/2, 42, 21, 25, 3, 1, 
2021/10/3, 26, 20, 20, 10, 2, 
2021/10/4, 28, 23, 24, 6, 2, 
2021/10/5, 22, 29, 26, 8, 2, 
2021/10/6, 33, 27, 26, 8, 1, 
2021/10/7, 41, 28, 27, 8, 1, 
2021/10/8, 44, 21, 29, 5, , 
2021/10/9, 35, 20, 32, 7, 1, 
2021/10/10, 51, 26, 31, 5, 1, 
2021/10/11, 50, 25, 31, 3, 1, 
2021/10/12, 50, 23, 29, 6, 1, 
2021/10/13, 45, 27, 21, 12, 1, 
2021/10/14, 39, 37, 26, 15, 1, 
2021/10/15, 52, 34, 17, 11, 1, 
2021/10/16, 65, 23, 21, 7, , 
2021/10/17, 44, 26, 10, 14, 1, 
2021/10/18, 44, 33, 9, 15, 2, 
2021/10/19, 55, 36, 31, 11, 1, 
2021/10/20, 54, 34, 24, 9, 1, 
2021/10/21, 35, 24, 22, 11, 1, 
2021/10/22, 30, 21, 17, 11, 1, 
2021/10/23, 32, 19, 22, 7, 1, 
2021/10/24, 29, 23, 20, 10, , 
2021/10/25, 30, 28, 21, 10, 1, 
2021/10/26, 42, 29, 14, 15, 2, 
2021/10/27, 47, 29, 12, 17, 1, 
2021/10/28, 48, 21, 22, 12, 1, 
2021/10/29, 34, 19, 22, 7, , 
2021/10/30, 24, 21, 23, 8, 1, 
2021/10/31, 25, 17, 26, 4, 1, 
2021/11/1, 26, 20, 25, 8, 2, 
2021/11/2, 22, 15, 26, 10, 1, 
2021/11/3, 29, 14, 22, 9, 1, 
2021/11/4, 26, 19, 14, 16, 1, 
2021/11/5, 34, 22, 21, 12, 1, 
2021/11/6, 42, 21, 16, 10, , 
2021/11/7, 38, 23, 21, 10, 1, 
2021/11/8, 41, 20, 22, 10, 1, 
2021/11/9, 29, 27, 24, 15, 1, 
2021/11/10, 46, 28, 18, 13, 1, 
2021/11/11, 48, 31, 15, 15, 1, 
2021/11/12, 54, 26, 20, 12, , 
2021/11/13, 48, 30, 14, 14, 1, 
2021/11/14, 47, 22, 18, 13, , 
2021/11/15, 39, 28, 8, 14, , 
2021/11/16, 46, 26, 15, 12, 1, 
2021/11/17, 45, 23, 23, 8, , 
2021/11/18, 31, 29, 13, 14, 1, 
2021/11/19, 43, 36, 8, 18, 3, 
2021/11/20, 59, 27, 24, 12, 2, 
2021/11/21, 54, 19, 25, 9, , 
2021/11/22, 25, 22, 22, 6, , 
2021/11/23, 20, 26, 29, 7, , 
2021/11/24, 31, 20, 23, 16, 1, 
2021/11/25, 30, 18, 26, 13, 1, 
2021/11/26, 25, 25, 32, 6, 1, 
2021/11/27, 32, 21, 34, 5, , 
2021/11/28, 29, 28, 29, 6, 1, 
2021/11/29, 26, , , , , 
2021/12/1, 34, 26, 27, 15, 1, 
2021/12/2, 30, 15, 22, 12, 1, 
2021/12/3, 21, 25, 27, 8, 3, 
2021/12/4, 29, 26, 31, 6, 2, 
2021/12/5, 28, 18, 29, 8, , 
2021/12/6, 22, 25, 30, 14, 2, 
2021/12/7, 30, 14, 33, 3, 1, 
2021/12/8, 20, 15, 31, 8, 1, 
2021/12/9, 28, 33, 28, 11, 5, 
2021/12/10, 40, 20, 27, 10, 2, 
2021/12/11, 32, 35, 12, 14, 1, 
2021/12/12, 52, 38, 8, 18, 3, 
2021/12/13, 62, 33, 13, 13, 1, 
2021/12/14, 61, 31, 10, 10, 1, 
2021/12/15, 54, 30, 13, 12, 1, 
2021/12/16, 67, 29, 10, 11, 1, 
2021/12/17, 59, 35, 11, 14, 1, 
2021/12/18, 72, 37, 10, 15, 2, 
2021/12/19, 81, 42, 6, 22, 2, 
2021/12/20, 79, 48, 7, 24, 3, 
2021/12/21, 84, 36, 29, 17, 2, 
2021/12/22, 67, 27, 12, 23, , 
2021/12/23, 45, 33, 17, 17, 1, 
2021/12/24, 56, 34, 10, 14, 1, 
2021/12/25, 66, 31, 7, 14, , 
2021/12/26, 62, 20, 36, 8, 1, 
2021/12/27, 35, 26, 33, 10, 5, 
2021/12/28, 32, 24, 21, 14, 1, 
2021/12/29, 38, 32, 7, 16, 2, 
2021/12/30, 62, 37, 9, 19, 2, 
2021/12/31, 74, 42, 21, 13, 3, 
2022/1/1, 91, 38, 16, 13, 1, 
2022/1/2, 68, 62, 9, 21, 2, 
2021/7/1, 47, 33, 12, 11, 5, 
2021/7/2, 59, 27, 24, 6, , 
2021/7/3, 41, 19, 23, 3, , 
2021/7/4, 36, 21, 21, 5, , 
2021/7/5, 29, 29, 23, 4, 1, 
2021/7/6, 37, 24, 18, 5, 1, 
2021/7/7, 34, 21, 21, 4, 1, 
2021/7/8, 39, 23, 22, 3, 1, 
2021/7/9, 37, 26, 22, 4, 2, 
2021/7/10, 44, 23, 21, 2, , 
2021/7/11, 44, 25, 13, 5, 2, 
2021/7/12, 28, 23, 16, 4, 1, 
2021/7/13, 34, 22, 19, 4, , 
2021/7/14, 33, 18, 21, 1, , 
2021/7/15, 37, 19, 26, 1, , 
2021/7/16, 31, 26, 31, 1, , 
2021/7/17, 44, 25, 32, 1, , 
2021/7/18, 50, 32, 33, 5, , 
2021/7/19, 59, 43, 31, 6, 1, 
2021/7/20, 69, 35, 32, 6, 1, 
2021/7/21, 58, 29, 31, 4, , 
2021/7/22, 47, 26, 22, 5, , 
2021/7/23, 39, 21, 19, 5, , 
2021/7/24, 32, 21, 22, 3, , 
2021/7/25, 38, 23, 31, 5, , 
2021/7/26, 36, 23, 25, 5, 1, 
2021/7/27, 42, 20, 27, 4, , 
2021/7/28, 25, 19, 24, 3, , 
2021/7/29, 31, 23, 17, 6, 1, 
2021/7/30, 37, 20, 18, 3, 1, 
2021/7/31, 31, 21, 24, 2, 1, 
2021/8/1, 35, 20, 24, 5, , 
2021/8/2, 35, 23, 22, 6, , 
2021/8/3, 37, 20, 15, 6, , 
2021/8/4, 33, 25, 22, 4, , 
2021/8/5, 34, 24, 23, 5, 1, 
2021/8/6, 31, 22, 21, 4, , 
2021/8/7, 27, 18, 25, 1, , 
2021/8/8, 24, 24, 25, 4, 1, 
2021/8/9, 28, 30, 25, 6, , 
2021/8/10, 42, 21, 21, 2, , 
2021/8/11, 36, 19, 22, 2, , 
2021/8/12, 29, 22, 25, 2, , 
2021/8/13, 29, 21, 21, 2, , 
2021/8/14, 32, 18, 22, 1, , 
2021/8/15, 24, 21, 25, 3, , 
2021/8/16, 31, 23, 32, 2, , 
2021/8/17, 38, 18, 31, 2, , 
2021/8/18, 26, 13, 30, 2, , 
2021/8/19, 18, 19, 30, 5, , 
2021/8/20, 25, 25, 28, 4, , 
2021/8/21, 52, 18, 23, 1, , 
2021/8/22, 27, 19, 23, 1, , 
2021/8/23, 27, 23, 33, 1, , 
2021/8/24, 27, 25, 31, 4, 1, 
2021/8/25, 36, 25, 33, 5, , 
2021/8/26, 40, 27, 39, 2, , 
2021/8/27, 39, 22, 32, 1, , 
2021/8/28, 30, 25, 31, 1, , 
2021/8/29, 27, 25, 30, 4, , 
2021/8/30, 35, 27, 31, 5, , 
2021/8/31, 32, 35, 27, 8, , 
2021/9/1, 40, 41, 23, 11, , 
2021/9/2, 55, 34, 30, 8, , 
2021/9/3, 48, 31, 36, 6, , 
2021/9/4, 50, 27, 29, 7, , 
2021/9/5, 47, 47, 23, 17, 1, 
2021/9/6, 66, 37, 28, 15, , 
2021/9/7, 51, 26, 22, 6, , 
2021/9/8, 43, 23, 20, 8, , 
2021/9/9, 42, 23, 25, 8, , 
2021/9/10, 36, 24, 28, 5, , 
2021/9/11, 41, 26, 27, 7, , 
2021/9/12, 43, 37, 16, 13, 1, 
2021/9/13, 56, 28, 21, 9, , 
2021/9/14, 47, 23, 17, 12, , 
2021/9/15, 43, 25, 26, 8, , 
2021/9/16, 39, 26, 16, 8, , 
2021/9/17, 41, 20, 23, 3, 2, 
2021/9/18, 29, 17, 28, 2, 1, 
2021/9/19, 28, 18, 19, 7, , 
2021/9/20, 29, 24, 23, 8, 1, 
2021/9/21, 37, 24, 28, 9, 1, 
2021/9/22, 40, 27, 32, 8, , 
2021/9/23, 46, 29, 32, 7, , 
2021/9/24, 50, 29, 29, 9, 1, 
2021/9/25, 49, 24, 27, 7, , 
2021/9/26, 30, 28, 23, 10, , 
2021/9/27, 40, 29, 22, 11, 2, 
2021/9/28, 43, 22, 16, 9, 1, 
2021/9/29, 35, 25, 24, 8, , 
2021/9/30, 39, 27, 17, 10, 1, 
2021/4/1, 103, 56, 35, 7, 1, 
2021/4/2, 71, 43, 32, 4, 1, 
2021/4/3, 56, 32, 35, 3, , 
2021/4/4, 52, 30, 36, 8, , 
2021/4/5, 54, 26, 37, 3, , 
2021/4/6, 36, 26, 36, 2, , 
2021/4/7, 36, 35, 29, 13, 2, 
2021/4/8, 50, 40, 32, 15, 1, 
2021/4/9, 59, 28, 26, 7, 1, 
2021/4/10, 51, 21, 35, 2, , 
2021/4/11, 29, 24, 35, 8, , 
2021/4/12, 35, 27, 33, 7, 1, 
2021/4/13, 45, 31, 37, 5, 1, 
2021/4/14, 37, 28, 39, 4, , 
2021/4/15, 39, 26, 39, 8, 1, 
2021/4/16, 48, 23, 38, 5, , 
2021/4/17, 47, 28, 38, 3, , 
2021/4/18, 52, 47, 33, 15, 1, 
2021/4/19, 65, 39, 37, 12, 1, 
2021/4/20, 59, 24, 34, 5, , 
2021/4/21, 35, 35, 29, 11, 1, 
2021/4/22, 62, 33, 19, 19, 1, 
2021/4/23, 55, 25, 36, 10, 1, 
2021/4/24, 37, 26, 37, 5, , 
2021/4/25, 43, 26, 31, 7, 1, 
2021/4/26, 48, 30, 34, 8, , 
2021/4/27, 45, 31, 36, 8, , 
2021/4/28, 43, 22, 33, 9, , 
2021/4/29, 39, 20, 33, 10, , 
2021/4/30, 41, 20, 36, 6, 1, 
2021/5/1, 42, 18, 38, 3, 1, 
2021/5/2, 40, 20, 38, 8, , 
2021/5/3, 36, 27, 30, 8, 1, 
2021/5/4, 47, 25, 26, 7, , 
2021/5/5, 32, 25, 21, 6, 1, 
2021/5/6, 36, 27, 26, 6, , 
2021/5/7, 40, 23, 29, 4, 1, 
2021/5/8, 39, 24, 24, 7, 1, 
2021/5/9, 41, 20, 23, 10, 1, 
2021/5/10, 31, 19, 31, 5, , 
2021/5/11, 28, 23, 31, 7, , 
2021/5/12, 32, 21, 24, 11, , 
2021/5/13, 33, 23, 28, 7, , 
2021/5/14, 30, 16, 26, 8, , 
2021/5/15, 32, 27, 28, 5, 2, 
2021/5/16, 33, 28, 26, 7, 2, 
2021/5/17, 33, 20, 24, 6, , 
2021/5/18, 25, 21, 29, 5, 1, 
2021/5/19, 31, 23, 26, 6, , 
2021/5/20, 38, 30, 27, 8, 1, 
2021/5/21, 32, 22, 31, 4, , 
2021/5/22, 28, 19, 33, 3, , 
2021/5/23, 29, 31, 30, 5, 1, 
2021/5/24, 36, 31, 30, 5, , 
2021/5/25, 41, 32, 31, 5, 1, 
2021/5/26, 47, 30, 30, 4, , 
2021/5/27, 44, 25, 27, 5, , 
2021/5/28, 37, 24, 30, 3, 1, 
2021/5/29, 44, 24, 38, 2, , 
2021/5/30, 49, 26, 37, 8, 1, 
2021/5/31, 49, 37, 29, 10, , 
2021/6/1, 58, 31, 34, 7, , 
2021/6/2, 48, 22, 26, 10, , 
2021/6/3, 33, 20, 27, 5, , 
2021/6/4, 29, 19, 30, 3, , 
2021/6/5, 27, 20, 30, , , 
2021/6/6, 34, 23, 30, 2, , 
2021/6/7, 36, 24, 28, 4, , 
2021/6/8, 37, 20, 29, 2, , 
2021/6/9, 38, 19, 27, 1, , 
2021/6/10, 28, 16, 19, 2, , 
2021/6/11, 32, 22, 27, 1, , 
2021/6/12, 30, 22, 29, 1, , 
2021/6/13, 45, 30, 32, 7, , 
2021/6/14, 55, 29, 31, 5, , 
2021/6/15, 49, 34, 25, 7, , 
2021/6/16, 56, 25, 24, 6, , 
2021/6/17, 41, 25, 21, 11, , 
2021/6/18, 35, 22, 21, 5, , 
2021/6/19, 33, 20, 24, 3, , 
2021/6/20, 34, 23, 17, 8, 1, 
2021/6/21, 31, 25, 22, 8, , 
2021/6/22, 33, 30, 19, 9, , 
2021/6/23, 47, 30, 28, 5, , 
2021/6/24, 53, 25, 29, 4, , 
2021/6/25, 42, 24, 28, 2, , 
2021/6/26, 41, 22, 24, 3, 1, 
2021/6/27, 30, 24, 24, 6, 1, 
2021/6/28, 33, 27, 24, 4, 4, 
2021/6/29, 40, 23, 23, 3, , 
2021/6/30, 43, 23, 25, 5, , 
2021/1/4, 28, 18, 17, 14, , 
2021/1/5, 38, 20, 13, 12, 1, 
2021/1/6, 50, 22, 14, 15, 1, 
2021/1/7, 46, 24, 16, 17, 2, 
2021/1/8, 53, 22, 24, 11, 1, 
2021/1/9, 49, 24, 27, 5, , 
2021/1/10, 31, 29, 18, 16, , 
2021/1/11, 54, 24, 16, 17, 1, 
2021/1/12, 49, 28, 17, 17, 4, 
2021/1/13, 55, 25, 10, 17, , 
2021/1/14, 56, 29, 15, 17, 1, 
2021/1/15, 56, 29, 13, 15, 2, 
2021/1/16, 49, 24, 13, 13, 1, 
2021/1/17, 50, 25, 13, 16, 1, 
2021/1/18, 52, 33, 30, 19, 2, 
2021/1/19, 52, 14, 34, 6, , 
2021/1/20, 25, 19, 36, 11, , 
2021/1/21, 31, 13, 37, 1, , 
2021/1/22, 21, 18, , 12, , 
2021/1/24, 21, 15, 25, 10, , 
2021/1/25, 32, 27, 8, 16, 1, 
2021/1/26, 49, 32, 8, 15, 1, 
2021/1/27, 48, 34, 4, 14, 1, 
2021/1/28, 54, 33, 6, 15, , 
2021/1/29, 42, 20, 32, 6, , 
2021/1/30, 31, 17, 33, 2, 1, 
2021/1/31, 25, 30, 29, 12, 2, 
2021/2/1, 36, 35, 7, 18, 1, 
2021/2/2, 52, 23, 24, 11, 1, 
2021/2/3, 41, 26, 23, 13, 1, 
2021/2/4, 49, 27, 34, 12, , 
